   191/299     11.5G   0.01512  0.008435  0.001018   0.02457        59       640    0.9463    0.8809    0.9156     0.618   0.02731   0.01569  0.005611
   192/299     11.5G   0.01467  0.008601 0.0009617   0.02423        41       640    0.9292    0.8967    0.9174    0.6163   0.02725   0.01568  0.005407
   193/299     11.5G   0.01448  0.008424 0.0007908   0.02369        41       640    0.9501    0.8721    0.9161    0.6184   0.02717   0.01614  0.005393
   194/299     11.5G    0.0146  0.008226 0.0008452   0.02368        39       640    0.9437    0.8767    0.9092    0.6162   0.02702   0.01588  0.006375
   195/299     11.5G    0.0149  0.008598  0.001117   0.02461        36       640    0.9533    0.8716    0.9125    0.6114   0.02731   0.01588  0.006045
   196/299     11.5G   0.01496  0.008517  0.000913   0.02439        51       640    0.9335    0.8777    0.9136     0.609   0.02749   0.01593   0.00637
   197/299     11.5G   0.01466  0.008538 0.0007995     0.024        57       640    0.9505    0.8777    0.9214     0.611   0.02761   0.01577  0.005869
   198/299     11.5G   0.01419  0.008388 0.0009467   0.02353        31       640    0.9463    0.8798    0.9203    0.6167   0.02737   0.01598  0.006208
   199/299     11.5G   0.01488  0.008482 0.0009137   0.02428        35       640    0.9571    0.8777    0.9154    0.6156   0.02735   0.01592  0.006126
   200/299     11.5G   0.01437  0.008345 0.0009446   0.02366        49       640    0.9444    0.8818    0.9172    0.6192   0.02716   0.01602  0.006188
   201/299     11.5G   0.01446  0.008597  0.001151   0.02421        50       640    0.9392     0.883    0.9183    0.6186   0.02725    0.0161  0.006355
   202/299     11.5G   0.01433  0.008443 0.0008971   0.02367        51       640    0.9568    0.8799    0.9183    0.6185   0.02728   0.01596  0.006016
